adversary,split,method,pool_size,seed,rank1,rank5,mAP
reid,crossview_cam3,original,15,29,0.8962962962962963,0.9709876543209877,0.6605873519329526
reid,crossview_cam3,original,20,0,0.85,0.9453125,0.609196532440189
reid,crossview_cam3,original,20,1,0.9120689655172414,0.9758620689655172,0.6712379774513155
reid,crossview_cam3,original,20,2,0.8972222222222223,0.9544444444444444,0.6270503793891098
reid,crossview_cam3,original,20,3,0.9055555555555556,0.9688888888888889,0.6524139409248849
reid,crossview_cam3,original,20,4,0.9283333333333333,0.955,0.6502828342779985
reid,crossview_cam3,original,20,5,0.8442708333333333,0.9401041666666666,0.5868830223102874
reid,crossview_cam3,original,20,6,0.8449494949494949,0.947979797979798,0.5843288378038047
reid,crossview_cam3,original,20,7,0.8473958333333333,0.9494791666666667,0.6160925602573836
reid,crossview_cam3,original,20,8,0.8147058823529412,0.9274509803921569,0.5629476728163553
reid,crossview_cam3,original,20,9,0.875,0.9488095238095238,0.647751341405104
reid,crossview_cam3,original,20,10,0.8651041666666667,0.9494791666666667,0.6028445370251253
reid,crossview_cam3,original,20,11,0.8088541666666667,0.9333333333333333,0.5924350118463118
reid,crossview_cam3,original,20,12,0.9037634408602151,0.9725806451612903,0.6024727330376088
reid,crossview_cam3,original,20,13,0.8849462365591397,0.9456989247311828,0.6101676354699626
reid,crossview_cam3,original,20,14,0.8942708333333333,0.9416666666666667,0.5938078687463485
reid,crossview_cam3,original,20,15,0.8354166666666667,0.9364583333333333,0.5600705923086863
reid,crossview_cam3,original,20,16,0.8776041666666666,0.9583333333333334,0.6322707777958567
reid,crossview_cam3,original,20,17,0.8876344086021506,0.9682795698924731,0.6626290098916783
reid,crossview_cam3,original,20,18,0.853030303030303,0.9505050505050505,0.6063475132998093
reid,crossview_cam3,original,20,19,0.8522222222222222,0.9544444444444444,0.658498545236045
reid,crossview_cam3,original,20,20,0.897979797979798,0.9484848484848485,0.5827910502742957
reid,crossview_cam3,original,20,21,0.9268817204301075,0.975268817204301,0.6292254755450223
reid,crossview_cam3,original,20,22,0.8343434343434344,0.9691919191919192,0.6197518331179604
reid,crossview_cam3,original,20,23,0.8881720430107527,0.9650537634408602,0.6731879208958166
reid,crossview_cam3,original,20,24,0.8828125,0.965625,0.6124387525507198
reid,crossview_cam3,original,20,25,0.8661616161616161,0.952020202020202,0.6169650720624643
reid,crossview_cam3,original,20,26,0.9223958333333333,0.9625,0.6533847573497219
reid,crossview_cam3,original,20,27,0.8539215686274509,0.9446078431372549,0.5727385102603717
reid,crossview_cam3,original,20,28,0.8720588235294118,0.9607843137254902,0.5991383653566048
reid,crossview_cam3,original,20,29,0.8925287356321839,0.957471264367816,0.6254709098252074
reid,crossview_cam3,original,25,0,0.8373015873015873,0.9412698412698413,0.545237521791299
reid,crossview_cam3,original,25,1,0.8599099099099099,0.9301801801801802,0.6043363312463124
reid,crossview_cam3,original,25,2,0.8798245614035087,0.9649122807017544,0.6086508347300547
reid,crossview_cam3,original,25,3,0.8504273504273504,0.9452991452991453,0.6099999202554734
reid,crossview_cam3,original,25,4,0.8633333333333333,0.9570833333333333,0.5990223554129134
reid,crossview_cam3,original,25,5,0.8392857142857143,0.9527777777777777,0.5711690772539693
reid,crossview_cam3,original,25,6,0.8422764227642277,0.9479674796747968,0.5693577989300814
reid,crossview_cam3,original,25,7,0.8289473684210527,0.9425438596491228,0.5617603607219319
reid,crossview_cam3,original,25,8,0.8495833333333334,0.9504166666666667,0.5546824649308804
reid,crossview_cam3,original,25,9,0.8407894736842105,0.9285087719298246,0.587915919649735
reid,crossview_cam3,original,25,10,0.8439024390243902,0.9443089430894309,0.5716040022650127
reid,crossview_cam3,original,25,11,0.8741228070175439,0.9451754385964912,0.6178411468279141
reid,crossview_cam3,original,25,12,0.8466666666666667,0.9379166666666666,0.56654901401677
reid,crossview_cam3,original,25,13,0.8358333333333333,0.9283333333333333,0.5607536422249645
reid,crossview_cam3,original,25,14,0.85375,0.9579166666666666,0.6040805051658671
reid,crossview_cam3,original,25,15,0.8103174603174603,0.9357142857142857,0.5639605359243254
reid,crossview_cam3,original,25,16,0.8142276422764227,0.9410569105691057,0.5477642869386602
reid,crossview_cam3,original,25,17,0.8587301587301587,0.9527777777777777,0.576663021292028
reid,crossview_cam3,original,25,18,0.8286324786324787,0.9286324786324787,0.5561870146753445
reid,crossview_cam3,original,25,19,0.8671052631578947,0.9578947368421052,0.6207528508926698
reid,crossview_cam3,original,25,20,0.8467479674796748,0.947560975609756,0.592585694880067
reid,crossview_cam3,original,25,21,0.8290598290598291,0.9384615384615385,0.5830806235879636
